Reachable,0.0
Reachable,0.0
Reachable,0.0
Reachable,0.0
Reachable,0.0
Reachable,0.224
Reachable,0.26754
Reachable,0.2897
Reachable,0.34
Reachable,0.3783
Reachable,0.3387
Reachable,0.3525
Reachable,0.33476
Reachable,0.332
Reachable,0.3347
Reachable,0.3342798
Reachable,0.33489
Reachable,0.35089
Reachable,0.345087
Reachable,0.34507
Reachable,0.34094
Reachable,0.332182
Reachable,0.4154
Reachable,0.41
Reachable,0.48
Reachable,0.48
Reachable,0.51
Reachable,0.55
Reachable,0.57
Reachable,0.59
Reachable,0.64
Reachable,0.67
Reachable,0.66
Reachable,0.69
Reachable,0.79
Reachable,0.91
Reachable,0.9212
Reachable,0.924
Reachable,0.923
Reachable,0.95
Reachable,0.943
Reachable,0.93
Reachable,0.921
Reachable,0.91
Reachable,0.93
Reachable,0.92
Reachable,0.89
Reachable,0.92
Reachable,0.92
Reachable,0.94
Reachable,0.93
Reachable,0.91
